a 	啊	c=36 d=1.2806 t=40209
fei shi fan 	非師範	c=0 d=0.0005 t=76495
fei shi fan shi de fen shu de 	非師範實得分數的	c=1 d=0.0014 t=76495
fei shu 	飛書	c=31 d=0.2452 t=76495
fei shu 	飞书	c=1 d=0.0002 t=3923
fei shu qun 	飛書羣	c=2 d=0.0005 t=76495
fei wu 	废物	c=1 d=1.3954 t=3923
fei wu 	廢物	c=4 d=0.0005 t=76495
fei zhou 	非州	c=3 d=0.0005 t=76495
fen 	份	c=1 d=0.4950 t=76495
fen 	分	c=21 d=0.3229 t=40209
fen 	奋	c=1 d=4.7561 t=76495
fen bie 	分別	c=4 d=0.1844 t=76495
fen bu 	分步	c=1 d=0.0005 t=76495
fen bu qing 	分不清	c=1 d=0.0005 t=76495
fen bu shi 	分佈式	c=1 d=0.0005 t=76495
fen bu zhou 	分步驟	c=2 d=0.0005 t=76495
fen ceng 	分層	c=3 d=3.6672 t=76495
fen cha 	分岔	c=0 d=0.0005 t=76495
fen ci 	分詞	c=1 d=0.0005 t=76495
fen dou 	奮鬥	c=1 d=0.0005 t=76495
fen e 	份額	c=0 d=0.0005 t=76495
fen e dou re ai 	份額都熱愛	c=1 d=0.0005 t=76495
fen fa 	分發	c=5 d=0.0005 t=76495
fen fa dao 	分發到	c=0 d=0.0005 t=76495
fen fa dao shi fou 	分發到是否	c=1 d=0.0005 t=76495
fen ge fu 	分隔符	c=1 d=0.0014 t=76495
fen ge xian 	分割線	c=1 d=0.0005 t=76495
fen gei ta 	分給他	c=1 d=0.0005 t=76495
fen hao 	分好	c=1 d=0.5824 t=76495
fen hao 	分號	c=0 d=0.0005 t=76495
fen hao zu 	分號組	c=1 d=0.0005 t=76495
fen jiao 	粉蕉	c=1 d=0.0005 t=76495
fen jie duan 	分階段	c=1 d=0.0005 t=76495
fen kai 	分開	c=3 d=0.0005 t=76495
fen kai lai 	分開來	c=1 d=0.0005 t=76495
fen kuai 	分塊	c=1 d=0.0005 t=76495
fen lei 	分類	c=1 d=1.3627 t=76495
fen li 	分離	c=0 d=0.0005 t=76495
fen lie 	分裂	c=1 d=0.0061 t=76495
fen liu 	分流	c=2 d=0.0005 t=76495
fen mi 	分泌	c=2 d=4.9751 t=76495
fen mu 	分母	c=1 d=0.0005 t=76495
fen pai 	分派	c=3 d=0.0005 t=76495
fen pei 	分配	c=31 d=7.1211 t=40209
fen pei biao 	分配表	c=1 d=0.0005 t=76495
fen pi 	分批	c=1 d=0.4859 t=3923
fen pian 	分片	c=4 d=0.0143 t=76495
fen ping 	分屏	c=1 d=0.0005 t=76495
fen qu 	分區	c=1 d=0.0005 t=76495
fen shi an 	分屍案	c=0 d=0.0005 t=76495
fen shi an da fa shi de 	分屍案大法師的	c=2 d=0.0005 t=76495
fen wei 	氛圍	c=1 d=0.0005 t=76495
fen wo 	分我	c=1 d=0.9796 t=76495
fen xi 	分析	c=12 d=0.0005 t=76495
fen xiang 	分享	c=2 d=0.0005 t=76495
fen xiang 	分項	c=1 d=0.0005 t=76495
fen ye 	分頁	c=8 d=0.0542 t=76495
fen zhi 	分之	c=1 d=0.0005 t=76495
fen zhi 	分支	c=58 d=1.4394 t=40209
fen zhi 	分治	c=1 d=0.0013 t=3923
fen zhi shang 	分支上	c=1 d=0.0018 t=3923
fen zhong 	分鐘	c=48 d=3.5128 t=76495
fen zhong 	分钟	c=8 d=2.0440 t=3923
fen zi 	份子	c=0 d=0.0005 t=76495
fen zu 	分組	c=38 d=0.0056 t=76495
feng 	封	c=4 d=0.0005 t=76495
feng 	峯	c=2 d=0.0005 t=76495
feng fu 	豐富	c=5 d=0.0738 t=76495
feng fu fang fang fang 	豐富方芳芳	c=7 d=0.0005 t=76495
feng ge 	鋒哥	c=1 d=0.0005 t=76495
feng ge 	風格	c=17 d=0.1948 t=76495
feng hao 	封号	c=1 d=0.0002 t=3923
feng hao 	封號	c=8 d=0.2502 t=76495
feng he 	缝合	c=0 d=0.2000 t=3635
feng he guai 	缝合怪	c=1 d=2.0000 t=3636
feng jian shi dai 	封建時代	c=0 d=0.0005 t=76495
feng jian shi dai fang jian 	封建時代房間	c=1 d=0.0005 t=76495
feng jin 	封禁	c=5 d=0.0005 t=76495
feng jing 	風景	c=1 d=0.0005 t=76495
feng kong 	峯空	c=1 d=0.0005 t=76495
feng kong 	風控	c=29 d=0.3606 t=76495
feng kong 	风控	c=0 d=0.0002 t=3923
feng kong biao 	风控表	c=1 d=0.0002 t=3923
feng kuang 	瘋狂	c=2 d=0.0005 t=76495
feng le 	瘋了	c=1 d=0.0005 t=76495
feng mian 	封面	c=0 d=0.0005 t=76495
feng mian tu 	封面圖	c=1 d=0.0005 t=76495
feng su 	風俗	c=1 d=0.0005 t=76495
feng xian 	風險	c=15 d=0.0879 t=76495
feng yan feng yu 	風言風語	c=1 d=0.0005 t=76495
feng yi ceng 	封一層	c=2 d=0.0005 t=76495
feng zhi 	峯值	c=1 d=0.0005 t=76495
feng zhu 	封住	c=1 d=0.0005 t=76495
feng zhuang 	封裝	c=21 d=0.0012 t=76495
fo 	佛	c=3 d=0.0005 t=76495
fou 	否	c=25 d=0.1915 t=76495
fou ding 	否定	c=1 d=0.0580 t=3923
fou ze 	否則	c=35 d=0.1597 t=76495
fu 	副	c=1 d=0.4414 t=40209
fu 	富	c=1 d=0.0005 t=76495
fu 	服	c=31 d=0.0007 t=40209
fu 	符	c=2 d=0.0005 t=76495
fu ben 	複本	c=1 d=2.2692 t=76495
fu chu 	付出	c=1 d=0.0005 t=76495
fu dan 	負擔	c=2 d=0.0005 t=76495
fu dao 	輔導	c=1 d=0.0005 t=76495
fu dao fei 	輔導費	c=0 d=0.0005 t=76495
fu dao fu dao 	辅导辅导	c=0 d=0.0005 t=76495
fu dao fu dao fu dao fei dei 	辅导辅导輔導費得	c=1 d=0.0005 t=76495
fu dao fu dao fu dao fu dao fu dao fei dei 	辅导辅导辅导辅导輔導費得	c=1 d=0.0005 t=76495
fu dao ke 	輔導課	c=0 d=0.0005 t=76495
fu dao ke shao nian fan ni shuo dao 	輔導課少年犯你说到	c=1 d=0.0005 t=76495
fu dian shu 	浮點數	c=1 d=0.0005 t=76495
fu du 	幅度	c=2 d=0.0005 t=76495
fu gai 	覆盖	c=1 d=0.0002 t=3923
fu gai 	覆蓋	c=10 d=0.4358 t=76495
fu gai shi 	覆蓋式	c=1 d=0.0005 t=76495
fu gui 	富貴	c=5 d=0.0338 t=76495
fu gui bing 	富貴病	c=1 d=0.0005 t=76495
fu hao 	符号	c=2 d=1.7917 t=3923
fu hao 	符號	c=3 d=0.0005 t=76495
fu hao gu wen 	符号顾问	c=1 d=0.0002 t=3923
fu he 	符合	c=4 d=0.0193 t=76495
fu he 	複合	c=1 d=0.0005 t=76495
fu he 	附和	c=1 d=0.0005 t=76495
fu he tiao jian 	符合條件	c=1 d=0.0005 t=76495
fu hua 	孵化	c=1 d=0.0005 t=76495
fu huo 	復活	c=1 d=0.0005 t=76495
fu ji 	父级	c=0 d=0.0005 t=76495
fu ji e dian 	父级額點	c=1 d=0.0005 t=76495
fu ji mu lu 	父级目录	c=1 d=0.0005 t=76495
fu jia 	附加	c=3 d=0.0005 t=76495
fu jia tiao jian 	附加條件	c=2 d=0.0005 t=76495
fu jian 	福建	c=1 d=0.0005 t=76495
fu jin 	附近	c=4 d=4.1973 t=76495
fu ke 	復刻	c=1 d=0.3086 t=76495
fu le 	服了	c=6 d=1.8872 t=76495
fu le ni men 	服了你們	c=1 d=0.0005 t=76495
fu li 	福利	c=3 d=0.2921 t=76495
fu lu 	附錄	c=3 d=0.0005 t=76495
fu nv 	婦女	c=0 d=0.0005 t=76495
fu nv zhi you 	婦女之友	c=1 d=0.0005 t=76495
fu peng 	付鵬	c=1 d=0.0005 t=76495
fu po 	富婆	c=2 d=1.8110 t=40209
fu po ming lu 	富婆名录	c=1 d=1.4094 t=3923
fu shu 	負數	c=1 d=0.0005 t=76495
fu wen ben 	富文本	c=2 d=0.0005 t=76495
fu wu 	服务	c=11 d=2.2569 t=3923
fu wu 	服務	c=121 d=9.7925 t=76495
fu wu duan 	服务端	c=3 d=0.0046 t=3923
fu wu duan 	服務端	c=5 d=0.0005 t=76495
fu wu hao ma 	服务号码	c=1 d=0.6024 t=3923
fu wu ji 	服務級	c=2 d=0.0005 t=76495
fu wu jian 	服務間	c=1 d=0.0096 t=76495
fu wu ming 	服务名	c=1 d=0.1609 t=3923
fu wu ming 	服務名	c=2 d=0.0005 t=76495
fu wu qi 	服務器	c=4 d=1.4933 t=76495
fu wu shang 	服務商	c=2 d=0.0005 t=76495
fu wu zhi liang 	服务质量	c=1 d=0.0002 t=3923
fu xian 	复现	c=1 d=0.0436 t=3923
fu xian 	復現	c=31 d=0.3500 t=76495
fu xuan kuang 	複選框	c=1 d=0.0005 t=76495
fu yang fei 	撫養費	c=1 d=0.0005 t=76495
fu yong 	復用	c=8 d=0.2697 t=76495
fu yuan 	復原	c=3 d=0.0500 t=76495
fu za 	複雜	c=6 d=0.0005 t=76495
fu zai 	負載	c=2 d=0.0005 t=76495
fu ze 	負責	c=11 d=0.3898 t=76495
fu ze 	负责	c=0 d=0.0002 t=3923
fu ze ren 	負責人	c=2 d=0.0005 t=76495
fu zhi 	复制	c=1 d=1.3954 t=3923
fu zhi 	扶植	c=1 d=0.0005 t=76495
fu zhi 	複製	c=1 d=0.0005 t=76495
fu zhi 	賦值	c=4 d=0.0005 t=76495
fu zhi zhan tie 	复制粘贴	c=2 d=0.6181 t=40209
fu zhu 	輔助	c=3 d=0.2779 t=76495
fu zuo yong 	副作用	c=1 d=4.4346 t=76495
ga 	噶	c=0 d=0.0005 t=76495
ga beng 	噶嘣	c=0 d=0.0005 t=76495
ga beng cui 	噶嘣脆	c=2 d=0.0005 t=76495
ga ga 	噶噶	c=1 d=0.0005 t=76495
ga ga ga 	嘎嘎嘎	c=10 d=0.0005 t=76495
ga jiu cai 	噶韭菜	c=1 d=0.0005 t=76495
ga le 	尬了	c=1 d=0.0002 t=3923
ga zhi 	嘎吱	c=0 d=0.0005 t=76495
ga zhi ga zhi xiang 	嘎吱嘎吱響	c=1 d=0.0005 t=76495
gai 	改	c=93 d=2.2186 t=40209
gai 	蓋	c=2 d=0.0005 t=76495
gai 	該	c=75 d=5.5339 t=76495
gai 	该	c=2 d=1.7128 t=3923
gai ban ben 	改版本	c=1 d=0.0005 t=76495
gai bei zhu 	改備註	c=2 d=0.0005 t=76495
gai bian 	改变	c=1 d=1.1539 t=3923
gai bian 	改變	c=6 d=7.7405 t=76495
gai bu 	該部	c=0 d=0.4950 t=76495
gai bu dong 	改不动	c=2 d=0.0005 t=76495
gai bu fen 	改部份	c=1 d=0.0005 t=76495
gai bu fen 	該部份	c=1 d=4.9751 t=76495
gai bu liao 	改不了	c=2 d=0.0005 t=76495
gai cao zuo 	該操作	c=1 d=0.0005 t=76495
gai cheng 	改成	c=12 d=0.0149 t=40209
gai cheng 	改稱	c=2 d=0.0021 t=76495
gai chi chi 	該喫喫	c=1 d=0.0005 t=76495
gai chi fan 	该吃饭	c=1 d=0.0407 t=3923
gai chong de 	該衝的	c=1 d=0.0016 t=76495
gai dao 	改到	c=1 d=0.0005 t=76495
gai de 	改的	c=5 d=0.0241 t=76495
gai diao 	改掉	c=4 d=0.0907 t=76495
gai dong 	改動	c=5 d=0.0055 t=76495
gai dong gei 	改動給	c=1 d=0.0005 t=76495
gai dui xiang 	該對象	c=1 d=0.0005 t=76495
gai fu wu 	該服務	c=1 d=0.0005 t=76495
gai gai 	改改	c=1 d=0.0005 t=76495
gai gan de 	該乾的	c=1 d=0.9180 t=76495
gai ge 	改個	c=3 d=0.0005 t=76495
gai ge 	改革	c=2 d=0.0005 t=76495
gai guo 	改過	c=4 d=0.0005 t=76495
gai guo lai 	改過來	c=1 d=0.0645 t=76495
gai hao le 	改好了	c=3 d=0.7441 t=76495
gai hao le ma 	該好了嗎	c=1 d=0.0005 t=76495
gai hui 	改回	c=2 d=0.4373 t=76495
gai hui lai 	改回來	c=1 d=0.0005 t=76495
gai hui lai le 	改回来了	c=1 d=2.8847 t=76495
gai kai 	該開	c=1 d=0.0005 t=76495
gai le 	改了	c=33 d=4.3148 t=40209
gai le 	蓋了	c=1 d=0.0005 t=76495
gai le ma 	改了吗	c=3 d=0.0005 t=76495
gai le yi bo 	改了一撥	c=2 d=0.0005 t=76495
gai le yi xia 	改了一下	c=1 d=1.2438 t=3923
gai lu you 	該路由	c=1 d=0.0005 t=76495
gai lv 	概率	c=13 d=1.1800 t=40209
gai nian 	概念	c=6 d=0.0005 t=76495
gai shan 	改善	c=2 d=0.0005 t=76495
gai shang qu 	改上去	c=1 d=0.2309 t=76495
gai shi jian duan 	該時間段	c=1 d=0.0005 t=76495
gai wan 	改完	c=7 d=1.7850 t=76495
gai wan le 	該完了	c=2 d=0.0005 t=76495
gai wei 	改爲	c=1 d=0.0005 t=76495
gai xia 	改下	c=10 d=0.7431 t=76495
gai xia 	該下	c=3 d=0.0014 t=76495
gai xin xi 	改信息	c=1 d=0.0200 t=76495
gai xuan xiang 	該選項	c=1 d=0.0005 t=76495
gai yao 	該要	c=1 d=0.0005 t=76495
gai yi bo 	改一撥	c=4 d=0.4841 t=76495
gai yi bo 	該一撥	c=1 d=0.0005 t=76495
gai yi ge 	改一个	c=2 d=0.0005 t=76495
gai yi xia 	改一下	c=38 d=0.4988 t=40209
gai yong 	改用	c=1 d=0.0005 t=76495
gai za zheng 	改咋整	c=1 d=0.0005 t=76495
gai zao 	改造	c=23 d=3.1081 t=40209
gai zhao 	改朝	c=1 d=0.0005 t=76495
gai zheng 	改正	c=1 d=0.0005 t=76495
gai zi liao 	改資料	c=1 d=0.0305 t=76495
gai zu xia 	該組下	c=1 d=0.0013 t=76495
gai zuo 	该做	c=0 d=0.0002 t=3923
gan 	咁	c=1 d=0.0005 t=76495
gan 	幹	c=5 d=3.8169 t=76495
gan 	敢	c=1 d=0.0005 t=76495
gan bai xia feng 	甘拜下風	c=1 d=0.0005 t=76495
gan bei 	乾杯	c=2 d=0.0005 t=76495
gan bu shang 	趕不上	c=1 d=0.0005 t=76495
gan chi 	干吃	c=1 d=0.0005 t=76495
gan cui 	乾脆	c=1 d=0.0005 t=76495
gan dao 	趕到	c=1 d=0.0005 t=76495
gan de 	乾的	c=0 d=0.0913 t=76495
gan de piao liang 	乾的漂亮	c=1 d=0.0005 t=76495
gan diao 	幹掉	c=11 d=0.0028 t=76495
gan die 	乾爹	c=1 d=0.9994 t=76495
gan fan 	乾飯	c=2 d=0.0005 t=76495
gan ga 	尴尬	c=1 d=0.0087 t=3923
gan ga 	尷尬	c=4 d=0.0005 t=76495
gan huo 	幹活	c=3 d=0.0005 t=76495
gan jin 	趕緊	c=8 d=0.0005 t=76495
gan jue 	感覺	c=47 d=5.3787 t=76495
gan jue 	感觉	c=2 d=1.0867 t=3923
gan kang 	感康	c=1 d=0.0005 t=76495
gan kuai 	趕快	c=1 d=0.0005 t=76495
gan le 	乾了	c=1 d=0.0005 t=76495
gan le xie sha 	乾了些啥	c=1 d=0.0005 t=76495
gan ma 	干嘛	c=1 d=0.3581 t=3923
gan ma 	幹嘛	c=8 d=0.0005 t=76495
gan mao 	感冒	c=3 d=0.0005 t=76495
gan mao le 	感冒了	c=1 d=0.0005 t=76495
gan ni 	幹你	c=0 d=0.3855 t=76495
gan ni niao shi 	幹你鸟事	c=1 d=3.8746 t=76495
gan ran 	感染	c=4 d=0.0005 t=76495
gan ran 	酣然	c=1 d=0.0005 t=76495
gan rao 	干擾	c=3 d=0.0005 t=76495
gan sha 	干啥	c=1 d=0.1735 t=3923
gan sha 	幹啥	c=27 d=2.2234 t=76495
gan sha sha bu xing 	幹啥啥不行	c=1 d=0.0005 t=76495
gan shang 	趕上	c=0 d=0.1469 t=76495
gan shang le 	趕上了	c=1 d=1.4762 t=76495
gan shuo 	敢說	c=1 d=0.0005 t=76495
gan tan hao 	感歎號	c=1 d=0.0005 t=76495
gan xing qu 	感兴趣	c=1 d=0.4834 t=3923
gan xing qu 	感興趣	c=1 d=0.0005 t=76495
gan zhe 	乾着	c=1 d=0.0005 t=76495
gan zhi 	感知	c=10 d=0.0053 t=40209
gang 	刚	c=1 d=1.2376 t=3923
gang 	剛	c=51 d=2.2467 t=76495
gang 	崗	c=3 d=0.2737 t=76495
gang ao tai 	港澳臺	c=1 d=0.0005 t=76495
gang cai 	剛纔	c=2 d=0.0452 t=76495
gang chu 	剛出	c=1 d=0.0005 t=76495
gang fa 	刚发	c=1 d=0.0002 t=3923
gang fa 	剛發	c=2 d=0.0005 t=76495
gang gan 	杠杆	c=1 d=1.7474 t=3923
gang gang 	剛剛	c=13 d=1.9340 t=76495
gang gang na ge 	剛剛那個	c=1 d=0.0005 t=76495
gang hao 	剛好	c=1 d=0.0005 t=76495
gang he ta 	剛和他	c=1 d=0.0005 t=76495
gang kan ta 	剛看他	c=1 d=0.0005 t=76495
gang qu 	刚去	c=1 d=1.1311 t=3923
gang rang 	剛讓	c=1 d=0.0005 t=76495
gang rang ta 	剛讓他	c=1 d=0.0005 t=76495
gang ru zhi 	剛入職	c=1 d=0.0005 t=76495
gang shi 	剛試	c=0 d=0.0005 t=76495
gang shi le 	剛試了	c=1 d=0.0005 t=76495
gang shuo le 	剛說了	c=1 d=0.0005 t=76495
gang ti 	刚提	c=1 d=0.0002 t=3923
gang wei 	崗位	c=1 d=0.0005 t=76495
gang wen le 	剛問了	c=1 d=0.4792 t=76495
gang xia ban 	刚下班	c=1 d=0.9833 t=3923
gang xiang 	剛想	c=0 d=0.0005 t=76495
gang zai 	剛在	c=2 d=0.0005 t=76495
gang zai he 	剛在和	c=1 d=0.0005 t=76495
gao 	吿	c=1 d=0.0005 t=76495
gao 	搞	c=19 d=1.4952 t=40209
gao 	高	c=8 d=4.8039 t=76495
gao bu 	搞不	c=1 d=0.2921 t=76495
gao bu ding 	搞不定	c=1 d=0.0005 t=76495
gao bu dong 	搞不懂	c=3 d=0.0175 t=76495
gao bu ming bai 	搞不明白	c=2 d=1.5060 t=76495
gao bu qi 	搞不起	c=1 d=0.0005 t=76495
gao bu qing 	搞不清	c=2 d=0.0471 t=40209
gao chao 	高潮	c=1 d=0.0005 t=76495
gao chu le 	搞出了	c=1 d=0.0005 t=76495
gao ci 	告辭	c=1 d=0.0005 t=76495
gao cuo le 	搞错了	c=2 d=0.0018 t=76495
gao da 	高大	c=1 d=0.0005 t=76495
gao dao 	搞到	c=2 d=0.0005 t=76495
gao de 	搞得	c=2 d=0.6903 t=76495
gao de wo 	搞得我	c=4 d=0.0005 t=76495
gao dian 	高點	c=1 d=0.0005 t=76495
gao ding 	搞定	c=6 d=0.0444 t=40209
gao dong 	搞懂	c=1 d=0.0005 t=76495
gao du 	高度	c=1 d=0.0005 t=76495
gao fan 	搞翻	c=1 d=0.0005 t=76495
gao fen zi 	高分子	c=1 d=0.0005 t=76495
gao fu za 	搞複雜	c=1 d=0.0005 t=76495
gao gao 	搞搞	c=1 d=0.0005 t=76495
gao gao 	高高	c=1 d=0.0005 t=76495
gao ge 	搞个	c=1 d=0.0005 t=76495
gao guo 	搞過	c=1 d=0.0005 t=76495
gao ji 	高級	c=4 d=0.0005 t=76495
gao ji ban 	高级版	c=1 d=0.0005 t=76495
gao ji shu 	搞技術	c=1 d=0.0005 t=76495
gao ji shu 	高技術	c=1 d=0.0005 t=76495
gao jing 	告警	c=40 d=0.0023 t=40209
gao kan 	高看	c=1 d=0.0005 t=76495
gao kao 	高考	c=1 d=0.0005 t=76495
gao kuai dian 	搞快点	c=2 d=3.9900 t=3708
gao kuai dian 	搞快點	c=3 d=0.0005 t=76495
gao le 	吿了	c=1 d=0.0005 t=76495
gao le 	搞了	c=1 d=0.5089 t=76495
gao le 	高了	c=2 d=0.0005 t=76495
gao nian ji 	高年級	c=1 d=0.0005 t=76495
gao piao ling 	高嘌呤	c=1 d=1.4542 t=76495
gao qing 	高清	c=3 d=0.0005 t=76495
gao shang 	搞上	c=1 d=0.0005 t=76495
gao shao 	高燒	c=1 d=0.0005 t=76495
gao shou 	高手	c=1 d=0.0005 t=76495
gao su 	告訴	c=5 d=0.0005 t=76495
gao su ni 	告诉你	c=3 d=1.5211 t=76495
gao su ta 	告诉她	c=2 d=0.0005 t=76495
gao su wo 	告诉我	c=6 d=0.0261 t=76495
gao tie 	高鐵	c=1 d=0.0005 t=76495
gao tie 	高铁	c=1 d=1.1772 t=3923
gao tu le 	搞吐了	c=1 d=0.0819 t=3923
gao wan 	搞完	c=0 d=0.0250 t=3923
gao wei 	高危	c=1 d=0.0018 t=76495
gao wo 	搞我	c=2 d=0.0005 t=76495
gao xiao 	搞笑	c=1 d=0.0005 t=76495
gao xue ya 	高血壓	c=2 d=0.0005 t=76495
gao yi bo 	搞一撥	c=1 d=0.0005 t=76495
gao yi ge 	搞一个	c=1 d=0.0005 t=76495
gao yi xia 	搞一下	c=1 d=0.0005 t=76495
gao yuan 	高原	c=0 d=0.0513 t=3923
gao zhi 	告之	c=1 d=0.0005 t=76495
gao zhi 	告知	c=20 d=0.2147 t=40209
gao zhong 	高中	c=3 d=4.8528 t=40209
gao zhong xing 	高种姓	c=2 d=0.0005 t=76495
ge 	个	c=2 d=2.4605 t=3923
ge 	個	c=80 d=0.2170 t=76495
ge 	各	c=0 d=0.2471 t=76495
ge 	哥	c=7 d=1.2640 t=40209
ge 	嗝	c=1 d=0.0005 t=76495
ge 	格	c=0 d=0.0005 t=76495
ge 	歌	c=2 d=0.0005 t=76495
ge 	革	c=1 d=0.0005 t=76495
ge bi 	戈壁	c=1 d=0.0005 t=76495
ge bi 	隔壁	c=1 d=0.0005 t=76495
ge bu fen 	各部分	c=1 d=0.0005 t=76495
ge di 	各地	c=0 d=0.0005 t=76495
ge di na shi kuai fei di nan sa fu 	各地那時快斐迪南颯服	c=1 d=0.0005 t=76495
ge fan 	个饭	c=0 d=0.0005 t=76495
ge fang mian 	各方面	c=1 d=0.0005 t=76495
ge fu 	各付	c=0 d=0.2471 t=76495
ge fu ge 	各付各	c=1 d=2.4829 t=76495
ge ge 	個個	c=1 d=0.5912 t=76495
ge ge 	割割	c=1 d=0.0005 t=76495
ge ge 	各個	c=1 d=0.7745 t=76495
ge ge 	咯咯	c=1 d=0.0005 t=76495
ge ge 	哥哥	c=2 d=0.0005 t=76495
ge ge ge ge 	割割割割	c=1 d=0.0005 t=76495
ge hao 	个号	c=86 d=4.8480 t=40209
ge hao guan li 	个号管理	c=1 d=0.0005 t=76495
ge hao jiang 	个好奖	c=1 d=2.0000 t=3658
ge hao lie biao 	个号列表	c=4 d=1.5074 t=40209
ge jian 	隔間	c=1 d=0.0005 t=76495
ge ju 	格局	c=4 d=0.3261 t=76495
ge jue 	隔絕	c=1 d=0.0005 t=76495
ge le 	割了	c=1 d=0.0005 t=76495
ge li 	個例	c=2 d=0.0005 t=76495
ge li 	隔离	c=9 d=4.2014 t=3923
ge li 	隔離	c=4 d=2.5972 t=76495
ge li ji bie 	隔離級別	c=1 d=0.0005 t=76495
ge lie 	割裂	c=2 d=0.0005 t=76495
ge men 	哥們	c=1 d=0.0005 t=76495
ge ming 	革命	c=2 d=0.0005 t=76495
ge qu 	各區	c=1 d=1.3491 t=76495
ge qu 	歌曲	c=1 d=1.3559 t=76495
ge ren 	個人	c=6 d=0.0010 t=76495
ge shi 	各式	c=1 d=0.6062 t=76495
ge shi 	格式	c=34 d=9.5056 t=40209
ge shi hua 	格式化	c=27 d=1.7875 t=40209
ge shi hua yi xia 	格式化一下	c=1 d=0.3860 t=3923
ge shu 	个数	c=2 d=0.2617 t=3923
ge shu 	個數	c=3 d=0.0302 t=76495
ge tian 	隔天	c=2 d=0.0005 t=76495
ge wei 	個微	c=4 d=0.0005 t=76495
ge wei 	各位	c=2 d=0.0005 t=76495
ge wei 	各爲	c=2 d=0.0005 t=76495
ge xiang 	各項	c=1 d=0.0005 t=76495
ge xiang ji zhi 	各項機制	c=1 d=0.0005 t=76495
ge xing 	個性	c=5 d=0.0264 t=76495
ge yi 	個億	c=1 d=0.0005 t=76495
ge ying 	膈應	c=2 d=0.2264 t=76495
ge yue 	個月	c=5 d=0.4209 t=76495
ge zhe 	擱這	c=2 d=4.1555 t=76495
ge zhong 	各種	c=11 d=0.1653 t=76495
ge zi 	各自	c=2 d=0.0005 t=76495
ge zi 	鴿子	c=1 d=0.0005 t=76495
gei 	給	c=133 d=11.2272 t=76495
gei 	给	c=5 d=0.6086 t=3923
gei chu 	給出	c=3 d=0.0005 t=76495
gei chu lai 	給出來	c=1 d=0.0005 t=76495
gei chu qu 	給出去	c=1 d=0.0005 t=76495
gei cuo le 	給錯了	c=1 d=0.0005 t=76495
gei dao 	給到	c=2 d=0.0052 t=76495
gei de 	给的	c=4 d=0.0005 t=76495
gei ding 	給定	c=3 d=0.0005 t=76495
gei ding zhi 	給定值	c=1 d=0.0005 t=76495
gei duo shao 	给多少	c=1 d=0.0005 t=76495
gei ge 	給個	c=9 d=1.5991 t=76495
gei guo 	給過	c=1 d=0.0005 t=76495
gei guo lai 	給過來	c=1 d=0.0005 t=76495
gei hui 	給回	c=1 d=0.0005 t=76495
gei le 	給了	c=3 d=0.0005 t=76495
gei le wo 	給了我	c=1 d=0.0005 t=76495
gei le wo 	给了我	c=1 d=0.0144 t=3923
gei le ya 	給了呀	c=1 d=0.0005 t=76495
gei li 	給力	c=1 d=0.0005 t=76495
gei li xia 	給李霞	c=1 d=0.0005 t=76495
gei na ge 	給哪個	c=1 d=0.0005 t=76495
gei ni 	給你	c=74 d=4.1378 t=76495
gei ni 	给你	c=3 d=1.7387 t=3923
gei ni kan 	給你看	c=1 d=0.0005 t=76495
gei ni le 	给你了	c=1 d=0.0005 t=76495
gei ni le ma 	给你了嗎	c=1 d=0.0005 t=76495
gei ni shuo 	给你说	c=1 d=0.0005 t=76495
gei qian 	給錢	c=2 d=0.0177 t=76495
gei ren 	給人	c=2 d=0.0005 t=76495
gei shi 	給事	c=1 d=0.0005 t=76495
gei shui 	給誰	c=1 d=0.0005 t=76495
gei ta 	給他	c=27 d=0.2518 t=76495
gei ta 	給她	c=0 d=0.0005 t=76495
gei ta 	给他	c=1 d=0.1298 t=3923
gei ta le 	給他了	c=1 d=0.0005 t=76495
gei ta men 	给他们	c=1 d=0.0005 t=76495
gei ta shuo 	給他說	c=1 d=0.0462 t=76495
gei ta shuo le 	给他说了	c=1 d=0.0005 t=76495
gei ta wan 	給他玩	c=1 d=0.0005 t=76495
gei wai bu 	給外部	c=1 d=0.0005 t=76495
gei wo 	給我	c=154 d=11.8945 t=76495
gei wo 	给我	c=8 d=1.5927 t=3923
gei wo men 	给我们	c=2 d=0.0020 t=76495
gei wo shuo 	给我说	c=3 d=0.0177 t=40209
gei wo shuo le 	给我说了	c=1 d=0.0005 t=76495
gei xia 	給下	c=6 d=0.0687 t=76495
gei yi fen 	給一份	c=1 d=0.0005 t=76495
gei yi ge 	给一个	c=10 d=3.0192 t=76495
gei yi xia 	给一下	c=60 d=0.3754 t=40209
gei zi ji 	给自己	c=2 d=0.4673 t=40209
gen 	根	c=1 d=0.0005 t=76495
gen 	跟	c=15 d=0.0882 t=40209
gen bu shang 	跟不上	c=1 d=0.0005 t=76495
gen ge 	跟个	c=1 d=0.0005 t=76495
gen jin 	跟進	c=1 d=0.0005 t=76495
gen ju 	根據	c=4 d=0.0005 t=76495
gen mu lu 	根目錄	c=1 d=0.0005 t=76495
gen shang 	跟上	c=1 d=0.0005 t=76495
gen sui 	跟隨	c=1 d=0.0005 t=76495
gen wo 	跟我	c=1 d=0.0005 t=76495
gen xin 	跟新	c=1 d=0.0005 t=76495
gen zhe 	跟着	c=5 d=0.0005 t=76495
