# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
he wo shuo 	和我说	c=2 d=2.64657e-09 t=76495
he xiao 	覈銷	c=1 d=3.9571e-06 t=76495
he xin 	核心	c=1 d=0.00733572 t=76495
he yi 	合一	c=0 d=1.39642e-47 t=76495
he yi he 	喝一喝	c=1 d=0.927743 t=76495
he yi qi 	合一起	c=1 d=1.90224e-65 t=76495
he yi qian 	和以前	c=1 d=2.14039e-41 t=76495
he yi xia 	合一下	c=4 d=2.27004e-27 t=76495
he yong 	何用	c=1 d=0.65377 t=76495
he zhe 	合着	c=1 d=3.41149e-84 t=76495
he zhe 	和着	c=1 d=1.79127e-05 t=76495
he zhe li 	和這裏	c=1 d=0.028297 t=76495
he zhi 	何止	c=1 d=1.01826e-07 t=76495
he zi 	盒子	c=2 d=3.30531e-42 t=76495
he zuo 	合作	c=1 d=0.353455 t=76495
he zuo 	合做	c=1 d=2.17769e-09 t=76495
he zuo wan 	和昨晚	c=1 d=1.85685e-75 t=76495
hei 	黑	c=5 d=6.72284e-07 t=76495
hei bai 	黑白	c=1 d=4.82386e-42 t=76495
hei gui 	黑鬼	c=1 d=5.78523e-33 t=76495
hei hao 	黑號	c=1 d=2.70861e-105 t=76495
hei he 	黑盒	c=1 d=1.65091e-45 t=76495
hei hei 	黑黑	c=1 d=1.24324e-32 t=76495
hei long jiang 	黑龍江	c=1 d=2.35826e-05 t=76495
hei ming dan 	黑名單	c=3 d=4.38445e-36 t=76495
hei nu 	黑奴	c=2 d=1.76133e-32 t=76495
hei ping 	黑屏	c=1 d=3.52711e-35 t=76495
hei quan 	黑犬	c=1 d=1.18386e-15 t=76495
hei ren 	黑人	c=5 d=1.27726e-23 t=76495
hei su 	黑素	c=0 d=4.67079e-46 t=76495
hei wo 	黑窩	c=0 d=6.95312e-109 t=76495
hen 	很	c=20 d=0.595368 t=76495
hen 	狠	c=1 d=3.07593e-13 t=76495
hen bao 	很飽	c=1 d=1.62314e-110 t=76495
hen cai 	很菜	c=3 d=4.68643e-17 t=76495
hen chou 	很臭	c=1 d=0.028297 t=76495
hen chou 	很醜	c=1 d=8.44239e-09 t=76495
hen da 	很大	c=4 d=0.891366 t=76495
hen di 	很低	c=2 d=3.17727e-12 t=76495
hen dong 	很懂	c=0 d=3.23198e-08 t=76495
hen duo 	很多	c=10 d=4.34022e-05 t=76495
hen e xin 	很噁心	c=1 d=1.68341e-39 t=76495
hen fan 	很煩	c=1 d=5.58625e-33 t=76495
hen guai 	很怪	c=1 d=1.34785e-100 t=76495
hen gui 	很貴	c=1 d=1.09473e-06 t=76495
hen guo fen 	很過分	c=1 d=1.29703e-89 t=76495
hen hao 	很好	c=3 d=0.0294521 t=76495
hen hua 	很滑	c=1 d=1.14252e-38 t=76495
hen ji 	很擠	c=1 d=1.22971e-109 t=76495
hen jian dan 	很簡單	c=1 d=3.70984e-41 t=76495
hen jiu 	很久	c=5 d=0.529935 t=76495
hen jiu 	很舊	c=1 d=1.2995e-82 t=76495
hen juan 	很卷	c=1 d=1.12157e-85 t=76495
hen kuai 	很快	c=2 d=0.0122161 t=76495
hen man 	很慢	c=2 d=0.139457 t=76495
hen mei 	很沒	c=0 d=0.00162445 t=76495
hen mei li mao 	很沒禮貌	c=1 d=0.0163259 t=76495
hen nan 	很難	c=3 d=1.78016e-20 t=76495
hen nan kan 	很難看	c=1 d=6.75703e-95 t=76495
hen nan shou 	很难受	c=1 d=2.67036e-26 t=76495
hen pang 	很胖	c=1 d=3.04376e-07 t=76495
hen qi guai 	很奇怪	c=1 d=1.20732e-40 t=76495
hen qi miao 	很奇妙	c=1 d=6.38326e-102 t=76495
hen qiang 	很強	c=1 d=1.38795e-92 t=76495
hen re 	很熱	c=1 d=2.70234e-19 t=76495
hen rong yi 	很容易	c=1 d=1.68983e-25 t=76495
hen shao 	很少	c=3 d=3.51472e-05 t=76495
hen shao jian 	很少見	c=1 d=3.78414e-39 t=76495
hen shen 	很深	c=1 d=4.16454e-107 t=76495
hen shi he 	很适合	c=1 d=7.71027e-30 t=76495
hen shu fu 	很舒服	c=1 d=2.50036e-105 t=76495
hen si 	恨死	c=1 d=0.0382893 t=76495
hen si fou 	恨死否	c=1 d=0.384812 t=76495
hen suan 	很酸	c=1 d=4.89359e-05 t=76495
hen suan tong 	很痠痛	c=1 d=2.85911e-06 t=76495
hen wan 	很晚	c=0 d=2.41436e-106 t=76495
hen xi huan 	很喜歡	c=1 d=6.53394e-53 t=76495
hen xiang 	很香	c=2 d=0.181772 t=76495
hen xiao 	很小	c=4 d=1.82808e-09 t=76495
hen zao 	很早	c=1 d=4.24605e-41 t=76495
hen zhong yao 	很重要	c=1 d=3.79277e-07 t=76495
heng 	佷	c=1 d=6.28823e-102 t=76495
heng 	恆	c=2 d=1.19556e-40 t=76495
heng shu 	橫豎	c=1 d=7.79066e-05 t=76495
heng xian 	橫線	c=2 d=3.1256e-25 t=76495
heng xin 	恆心	c=1 d=4.64528e-10 t=76495
heng yang 	衡陽	c=1 d=1.08927e-06 t=76495
hong 	宏	c=1 d=8.02793e-05 t=76495
hong 	紅	c=1 d=7.71708e-11 t=76495
hong bao 	紅包	c=1 d=3.47012e-108 t=76495
hong dian 	紅點	c=10 d=2.56348e-16 t=76495
hong ji 	宏基	c=5 d=0.190641 t=76495
hong le 	紅了	c=1 d=4.95894e-14 t=76495
hong se 	紅色	c=1 d=2.94559e-33 t=76495
hong shu 	紅薯	c=1 d=5.5461e-07 t=76495
hong tou 	紅透	c=0 d=2.3975e-53 t=76495
hong tou le 	紅透了	c=1 d=2.40951e-52 t=76495
hong xian 	紅線	c=1 d=2.4451e-48 t=76495
hou 	候	c=1 d=1 t=76495
hou 	吼	c=1 d=1.27566e-106 t=76495
hou 	後	c=150 d=2.06867 t=76495
hou ai 	厚愛	c=1 d=9.01398e-15 t=76495
hou de 	后的	c=3 d=2.65614e-22 t=76495
hou du 	後讀	c=0 d=2.03047e-10 t=76495
hou du a 	後讀啊	c=1 d=2.04064e-09 t=76495
hou duan 	後端	c=146 d=1.98618 t=76495
hou duan de 	后端的	c=1 d=4.9804e-06 t=76495
hou guo 	後果	c=3 d=2.15706e-44 t=76495
hou hua yuan 	後花園	c=1 d=1.17671e-32 t=76495
hou hui 	後悔	c=2 d=1.12298e-41 t=76495
hou jin men 	後進門	c=1 d=1.32606e-26 t=76495
hou lai 	後來	c=19 d=4.71388e-06 t=76495
hou mian 	後面	c=21 d=0.00261895 t=76495
hou mian de 	后面的	c=0 d=2.23967e-46 t=76495
hou mian de ren 	后面的人	c=1 d=2.2509e-45 t=76495
hou qi 	後期	c=1 d=5.06876e-07 t=76495
hou quan 	猴拳	c=0 d=1.25011e-39 t=76495
hou tai 	後臺	c=11 d=5.31668e-10 t=76495
hou xu 	後續	c=15 d=0.00170364 t=76495
hou yan 	後延	c=1 d=2.91153e-102 t=76495
hou yi xia 	吼一下	c=1 d=1.20515e-107 t=76495
hou zhui 	後綴	c=8 d=8.05531e-08 t=76495
hou zi 	猴子	c=2 d=9.68235e-24 t=76495
hu 	胡	c=0 d=6.32985e-63 t=76495
hu bei 	湖北	c=1 d=2.51664e-05 t=76495
hu bu 	互不	c=1 d=1.35538e-48 t=76495
hu dong 	互動	c=1 d=9.13591e-26 t=76495
hu er 	忽而	c=0 d=1.29152e-40 t=76495
hu he hao te 	呼和浩特	c=1 d=0.355226 t=76495
hu hui 	互惠	c=1 d=1.12317e-43 t=76495
hu kan 	互砍	c=1 d=1.44523e-09 t=76495
hu lian wang 	互聯網	c=2 d=1.80989e-09 t=76495
hu lue 	忽略	c=34 d=0.020141 t=76495
hu luo bo 	胡蘿蔔	c=2 d=4.87997e-31 t=76495
hu nan 	湖南	c=2 d=0.00165327 t=76495
hu ti 	互踢	c=1 d=3.88998e-40 t=76495
hu tong 	互通	c=1 d=2.61392e-10 t=76495
hu wei 	互爲	c=1 d=3.54358e-31 t=76495
hu wei 	護衛	c=1 d=3.52591e-31 t=76495
hu xiang 	互向	c=5 d=7.12618e-15 t=76495
hu xiang 	互相	c=1 d=6.19566e-104 t=76495
hu xiang shang hai 	互相伤害	c=1 d=1.91483e-25 t=76495
hu xiang xue xi 	互向學習	c=1 d=1.80412e-89 t=76495
hu you 	忽悠	c=1 d=2.6584e-32 t=76495
hu zhao 	護照	c=1 d=0.786628 t=76495
hua 	化	c=6 d=0.207008 t=76495
hua 	畫	c=2 d=8.96063e-39 t=76495
hua 	花	c=1 d=9.09683e-05 t=76495
hua 	話	c=11 d=0.0325493 t=76495
hua bo 	劃撥	c=2 d=0.00495277 t=76495
hua dao 	滑倒	c=1 d=3.637e-43 t=76495
hua dian qian 	花點錢	c=1 d=9.89849e-28 t=76495
hua diao 	劃掉	c=1 d=1.73502e-12 t=76495
hua dong 	滑動	c=1 d=6.61647e-83 t=76495
hua fei 	話費	c=1 d=7.43597e-45 t=76495
hua fen 	劃分	c=2 d=0.115325 t=76495
hua guo qu 	滑過去	c=0 d=3.45962e-44 t=76495
hua hao 	畫號	c=1 d=8.25359e-37 t=76495
hua kuo hao 	花括號	c=1 d=4.47849e-21 t=76495
hua nan 	華南	c=1 d=4.52321e-79 t=76495
hua qian 	花錢	c=2 d=2.29012e-13 t=76495
hua ren 	華人	c=1 d=5.21762e-24 t=76495
hua shu 	話術	c=34 d=1.12572e-16 t=76495
hua shu ku 	話術庫	c=14 d=5.23136e-21 t=76495
hua shu zu 	話術組	c=3 d=1.37354e-21 t=76495
hua shuo 	話說	c=2 d=0.546075 t=76495
hua ti 	話題	c=1 d=0.249075 t=76495
hua tuo 	華佗	c=0 d=8.0679e-35 t=76495
hua tuo san lian 	華佗三連	c=1 d=8.10834e-34 t=76495
hua wei 	華爲	c=2 d=0.136695 t=76495
hua xue 	化學	c=1 d=3.90283e-20 t=76495
hua zhuan 	劃轉	c=1 d=4.74058e-43 t=76495
hua zou 	划走	c=1 d=1.43543e-76 t=76495
huai 	壞	c=4 d=0.0325493 t=76495
huai hua 	壞話	c=1 d=1.72221e-13 t=76495
huai le 	壞了	c=2 d=0.506617 t=76495
huai nian 	懷念	c=1 d=3.74597e-08 t=76495
huai yi 	懷疑	c=9 d=0.00386807 t=76495
huai yi dian 	懷疑點	c=1 d=2.32632e-21 t=76495
huai yun 	懷孕	c=1 d=2.05828e-22 t=76495
huan 	換	c=21 d=0.604889 t=76495
huan 	還	c=1 d=0.0882497 t=76495
huan bang 	换绑	c=1 d=0.0845849 t=76495
huan cheng 	換成	c=9 d=0.000187825 t=76495
huan chong 	緩衝	c=1 d=4.27096e-51 t=76495
huan cun 	緩存	c=50 d=6.54258e-15 t=76495
huan dao 	換到	c=1 d=2.2525e-24 t=76495
huan ge 	換個	c=1 d=9.77605e-58 t=76495
huan gei 	還給	c=0 d=3.19614e-112 t=76495
huan gei wo 	還給我	c=1 d=3.21217e-111 t=76495
huan hang 	換行	c=16 d=1.09077 t=76495
huan hang fu 	換行符	c=1 d=1.9323e-73 t=76495
huan hui 	換回	c=1 d=3.89436e-112 t=76495
huan hui lai 	換回來	c=1 d=0.0880368 t=76495
huan hui qu 	還會去	c=1 d=7.62761e-109 t=76495
huan jie 	環節	c=2 d=7.877e-17 t=76495
huan jing 	環境	c=52 d=1.22684 t=76495
huan jing bian liang 	環境變量	c=1 d=8.45911e-91 t=76495
huan lai 	換來	c=2 d=9.25056e-75 t=76495
huan le 	換了	c=11 d=0.128093 t=76495
huan le ma 	換了嗎	c=1 d=2.79574e-07 t=76495
huan le yi ge 	换了一个	c=1 d=2.62088e-100 t=76495
huan qiu 	環球	c=0 d=1.89468e-78 t=76495
huan qiu mao yi zhong xin 	環球貿易中心	c=1 d=1.90418e-77 t=76495
huan she bei 	換設備	c=1 d=2.14593e-42 t=76495
huan suan 	換算	c=2 d=2.11419e-06 t=76495
huan wan 	换完	c=1 d=4.46118e-93 t=76495
huan yi 	換衣	c=0 d=3.19146e-36 t=76495
huan yi ge 	换一个	c=2 d=1.84199e-10 t=76495
huan yi xia 	换一下	c=1 d=6.75955e-70 t=76495
huan ying 	歡迎	c=3 d=0.000238772 t=76495
huan ying yu 	歡迎語	c=9 d=1.72043 t=76495
huan yuan 	還原	c=1 d=1.53883e-12 t=76495
huang 	荒	c=0 d=1.03703e-17 t=76495
huang 	黃	c=8 d=5.86068e-09 t=76495
huang di 	皇帝	c=1 d=1.31309e-28 t=76495
huang gai 	黃蓋	c=1 d=6.61352e-19 t=76495
huang men 	黃燜	c=1 d=7.43748e-18 t=76495
huang se 	黃色	c=1 d=3.00509e-33 t=76495
huang tian di 	荒天帝	c=1 d=1.04223e-16 t=76495
huang you 	黃油	c=1 d=5.63321e-102 t=76495
huang zhi hao 	黃志浩	c=2 d=5.80237e-09 t=76495
hui 	回	c=3 d=6.63876e-05 t=76495
hui 	會	c=166 d=1.51144 t=76495
hui a 	会啊	c=1 d=8.12518e-29 t=76495
hui ba 	會把	c=1 d=0.0397558 t=76495
hui ba ta 	會把它	c=1 d=2.19883e-05 t=76495
hui bao 	回包	c=6 d=1.13468e-20 t=76495
hui bei 	會被	c=8 d=0.0207008 t=76495
hui ben 	回本	c=2 d=4.38218e-22 t=76495
hui bian 	彙編	c=2 d=2.33233e-13 t=76495
hui bian 	會變	c=3 d=0.0184074 t=76495
hui bu hui 	會不會	c=4 d=2.85036e-11 t=76495
hui bu hui fu 	回不回复	c=1 d=4.96485e-28 t=76495
hui che 	回撤	c=1 d=1.35134e-101 t=76495
hui che 	回車	c=4 d=6.67317e-07 t=76495
hui che huan hang 	回車換行	c=1 d=1.15876e-57 t=76495
hui chuan 	回傳	c=1 d=1.55964e-23 t=76495
hui da 	回答	c=1 d=1.45683e-103 t=76495
hui dao 	回到	c=3 d=8.32517e-21 t=76495
hui diao 	回調	c=175 d=1.71599 t=76495
hui diao o 	回調哦	c=1 d=1.04674e-08 t=76495
hui dong 	會動	c=1 d=0.07502 t=76495
hui er 	會兒	c=0 d=1.33711e-07 t=76495
hui fu 	回覆	c=89 d=0.000289183 t=76495
hui fu 	恢復	c=16 d=0.102353 t=76495
hui gai 	悔改	c=1 d=1.69767e-50 t=76495
hui gui 	回歸	c=5 d=0.0617926 t=76495
hui gun 	回滾	c=12 d=1.94845e-39 t=76495
hui hua 	會話	c=130 d=0.616575 t=76495
hui hua 	繪畫	c=1 d=1.03764e-111 t=76495
hui hua shu 	會話數	c=1 d=2.5493e-39 t=76495
hui jia 	回家	c=5 d=0.909373 t=76495
hui jia de 	回家的	c=1 d=2.03795e-111 t=76495
hui jia ma 	回家嗎	c=1 d=8.65464e-07 t=76495
hui jiang qi 	會將其	c=1 d=2.534e-27 t=76495
hui lai 	回來	c=22 d=0.0111668 t=76495
hui lai le 	回来了	c=1 d=5.70261e-99 t=76495
hui lao jia 	回老家	c=1 d=1.61812e-103 t=76495
hui lv 	匯率	c=2 d=2.10364e-06 t=76495
hui meng 	會盟	c=1 d=0.351692 t=76495
hui min 	回民	c=1 d=1.67706e-24 t=76495
hui pao 	會跑	c=1 d=3.33779e-33 t=76495
hui qu 	回去	c=8 d=0.00177315 t=76495
hui qu 	會去	c=1 d=1.35124e-12 t=76495
hui rang 	會讓	c=2 d=1.95019e-05 t=76495
hui shang 	會上	c=1 d=1.11681e-35 t=76495
hui shi 	回事	c=6 d=2.28304e-06 t=76495
hui shou 	回收	c=2 d=2.76069e-35 t=76495
hui shou zhan 	回收站	c=1 d=0.995012 t=76495
hui tui 	回退	c=4 d=4.17712e-83 t=76495
hui wan 	會玩	c=1 d=8.73483e-86 t=76495
hui wo 	回我	c=1 d=1.11586e-25 t=76495
hui xian 	回显	c=2 d=3.53203e-22 t=76495
hui xie 	回寫	c=2 d=1.81299e-18 t=76495
hui ying 	回應	c=2 d=4.47226e-34 t=76495
hui you 	會有	c=4 d=2.83496e-10 t=76495
hui you yi ge 	会有一个	c=1 d=6.27047e-10 t=76495
hui yuan 	會員	c=1 d=1.19885e-16 t=76495
hui zai 	會在	c=2 d=0.179964 t=76495
hui zhao 	會找	c=1 d=1.47433e-67 t=76495
hui zhe yang 	會這樣	c=1 d=3.21401e-59 t=76495
hui zu 	回族	c=1 d=1.70241e-24 t=76495
hui zuo 	會做	c=1 d=6.08061e-60 t=76495
hun 	婚	c=1 d=2.98007e-111 t=76495
hun luan 	混亂	c=2 d=4.34022e-05 t=76495
hun ru 	混入	c=1 d=5.56993e-28 t=76495
hun xie 	混写	c=2 d=8.92884e-21 t=76495
hun zi 	混子	c=1 d=1.86299e-55 t=76495
huo 	或	c=22 d=0.000728153 t=76495
huo 	活	c=17 d=0.194001 t=76495
huo bei 	或被	c=1 d=4.72642e-96 t=76495
huo bi 	貨幣	c=1 d=8.96444e-09 t=76495
huo bing 	火併	c=3 d=5.17456e-32 t=76495
huo chu 	活出	c=1 d=7.60736e-19 t=76495
huo de 	活得	c=1 d=8.52434e-05 t=76495
huo de 	獲得	c=9 d=2.20606e-13 t=76495
lao shi 	老實	c=3 d=0.00184675 t=76495
lao shi 	老師	c=3 d=0.00279566 t=76495
lao shi ba jiao 	老實巴交	c=1 d=7.94508e-30 t=76495
lao shi ren 	老實人	c=1 d=7.90545e-30 t=76495
lao shu 	老鼠	c=1 d=1.10038e-20 t=76495
lao shu jin 	老鼠縉	c=1 d=9.91736e-21 t=76495
lao si ji 	老司机	c=1 d=5.28606e-89 t=76495
lao tie 	烙鐵	c=1 d=3.66832e-85 t=76495
lao tie 	老铁	c=2 d=1.86819e-29 t=76495
lao tong zhi 	老同志	c=1 d=1.02867e-09 t=76495
lao tou 	老頭	c=1 d=2.31385e-46 t=76495
lao wen ti 	老問題	c=3 d=0.718924 t=76495
lao wo 	老窩	c=1 d=5.7337e-16 t=76495
lao xue shuan 	老血栓	c=1 d=0.0152222 t=76495
lao yao 	老腰	c=1 d=9.81367e-15 t=76495
lao ye 	老爺	c=1 d=9.19764e-17 t=76495
lao yi yang 	老一樣	c=1 d=8.04107e-83 t=76495
lao you tiao 	老油條	c=3 d=2.98451e-11 t=76495
lao zha nan 	老渣男	c=1 d=2.76745e-05 t=76495
lao zhen 	落枕	c=1 d=3.74788e-14 t=76495
le 	了	c=1619 d=8.80413 t=76495
le 	仂	c=1 d=4.85464e-58 t=76495
le 	勒	c=1 d=2.33194e-20 t=76495
le 	叻	c=1 d=4.0321e-21 t=76495
le 	嘞	c=2 d=3.00305e-25 t=76495
le 	埒	c=2 d=6.9467e-09 t=76495
le 	楽	c=2 d=2.9533e-05 t=76495
le 	樂	c=2 d=0.130029 t=76495
le 	肋	c=2 d=3.24255e-16 t=76495
le ba 	了吧	c=22 d=0.153886 t=76495
le de 	了的	c=1 d=3.31888e-25 t=76495
le de 	樂得	c=3 d=4.94428e-38 t=76495
le dian 	了点	c=0 d=5.54687e-39 t=76495
le he 	乐呵	c=2 d=8.79834e-83 t=76495
le ma 	了嗎	c=81 d=0.827894 t=76495
le mei 	了没	c=5 d=0.0129715 t=76495
le na ge 	了那个	c=0 d=2.97266e-24 t=76495
le o 	了哦	c=1 d=6.01787e-85 t=76495
le sha 	勒殺	c=0 d=1.86241e-23 t=76495
le shi ma 	了是嗎	c=1 d=2.40362e-82 t=76495
le ta 	了他	c=1 d=5.40623e-30 t=76495
le ya 	了呀	c=9 d=4.15277e-15 t=76495
le yi dian 	了一点	c=0 d=7.01151e-31 t=76495
le yi ge 	了一个	c=3 d=2.3252e-27 t=76495
le yi tiao 	了一條	c=1 d=5.63513e-106 t=76495
le zi 	樂子	c=1 d=5.75796e-95 t=76495
lei 	累	c=0 d=2.30812e-106 t=76495
lei 	雷	c=1 d=3.43231e-38 t=76495
lei 	類	c=9 d=0.316637 t=76495
lei bie 	類別	c=3 d=2.69753e-10 t=76495
lei jia 	累加	c=11 d=4.61129e-07 t=76495
lei niao 	雷鳥	c=1 d=3.18627e-104 t=76495
lei si 	累死	c=1 d=0.00752142 t=76495
lei si 	類似	c=16 d=0.00843806 t=76495
lei xing 	類型	c=104 d=0.89254 t=76495
lei yu 	雷雨	c=1 d=3.69963e-38 t=76495
leng mian 	冷麪	c=0 d=5.71501e-08 t=76495
leng qing 	冷清	c=2 d=0.0127147 t=76495
leng re 	冷熱	c=1 d=5.73761e-24 t=76495
leng shui 	冷水	c=1 d=1.92371e-50 t=76495
li 	李	c=5 d=2.11333e-10 t=76495
li 	梨	c=1 d=5.35535e-07 t=76495
li 	理	c=3 d=3.71249e-20 t=76495
li 	立	c=2 d=3.46632e-07 t=76495
li 	裏	c=9 d=0.00701293 t=76495
li 	離	c=3 d=1.9263e-77 t=76495
li 	黎	c=0 d=5.77109e-64 t=76495
li chang gui 	李長貴	c=1 d=1.72714e-76 t=76495
li cheng bei 	里程碑	c=1 d=1.1949e-36 t=76495
li chun 	立純	c=5 d=7.367e-32 t=76495
li dang 	理當	c=1 d=0.0234005 t=76495
li du 	粒度	c=2 d=3.29492e-28 t=76495
li ge 	立個	c=1 d=4.73912e-10 t=76495
li gong 	理工	c=1 d=0.00166156 t=76495
li hai 	厲害	c=2 d=4.66777e-08 t=76495
li hao 	利好	c=0 d=6.16686e-109 t=76495
li hui 	理會	c=2 d=3.20244e-46 t=76495
li ji 	立即	c=7 d=0.1764 t=76495
li jie 	歷屆	c=1 d=2.09388e-106 t=76495
li jie 	理解	c=10 d=0.000390114 t=76495
li jie li jie 	理解理解	c=1 d=7.03467e-10 t=76495
li jie qi lai 	理解起來	c=1 d=1.70449e-09 t=76495
li kai 	離開	c=10 d=0.355226 t=76495
li ke 	立刻	c=2 d=1.66235e-38 t=76495
li lao shi 	李老師	c=1 d=5.77109e-63 t=76495
li lao shi 	黎老師	c=1 d=5.80002e-63 t=76495
li le 	立了	c=1 d=6.86332e-14 t=76495
li li yuan 	李利源	c=1 d=2.12393e-09 t=76495
li li zai mu 	歷歷在目	c=1 d=2.35987e-13 t=76495
li lian 	歷練	c=1 d=6.8764e-07 t=76495
li lun 	理論	c=7 d=5.04777e-17 t=76495
li ma 	立馬	c=13 d=0.111359 t=76495
li mao 	禮貌	c=0 d=0.00162445 t=76495
li mian 	裏面	c=125 d=1.86943 t=76495
li mian de 	里面的	c=3 d=3.09935e-14 t=76495
li mian lai 	裏面來	c=1 d=1.28289e-19 t=76495
li mian le 	里面了	c=1 d=1.03144e-70 t=76495
li mian qu 	裏面去	c=2 d=2.26804e-46 t=76495
li na 	李娜	c=5 d=0.814647 t=76495
li na 	麗娜	c=1 d=1.74823e-13 t=76495
li nian 	李念	c=1 d=0.759572 t=76495
li pu 	離譜	c=5 d=1.53029e-05 t=76495
li qi 	力氣	c=1 d=4.47545e-13 t=76495
li qiu 	立秋	c=1 d=7.29765e-30 t=76495
li shan shan 	李珊珊	c=5 d=9.88334e-10 t=76495
li shi 	歷史	c=40 d=0.0971823 t=76495
li shi yuan yin 	歷史原因	c=1 d=1.22665e-21 t=76495
li si 	李四	c=1 d=7.80526e-27 t=76495
li wai 	例外	c=1 d=6.25854e-17 t=76495
li xia 	李霞	c=11 d=0.0298969 t=76495
li xian 	離線	c=13 d=0.000608314 t=76495
li xing jiao 	李兴椒	c=5 d=4.19964e-16 t=76495
li ying 	理應	c=1 d=1.38399e-29 t=76495
li yong 	利用	c=2 d=2.02489e-06 t=76495
li yong 	李詠	c=1 d=1.13404e-68 t=76495
li yuan 	利源	c=1 d=0.00670434 t=76495
li yuan 	立源	c=11 d=0.567381 t=76495
li zhi 	理智	c=1 d=1.80351e-85 t=76495
li zhi 	離職	c=10 d=0.247914 t=76495
li zhi le 	離職了	c=1 d=0.263158 t=76495
li zhi lv 	離職率	c=1 d=2.58827e-41 t=76495
li zi 	例子	c=4 d=2.75274e-21 t=76495
li zi 	梨子	c=0 d=3.37019e-30 t=76495
li zi ya 	梨子鴨	c=1 d=3.38708e-29 t=76495
lian 	戀	c=0 d=0.0139457 t=76495
lian 	臉	c=1 d=6.15907e-06 t=76495
lian 	連	c=13 d=0.0448245 t=76495
lian 	鍊	c=3 d=3.44454e-13 t=76495
lian 	鏈	c=2 d=0.000377257 t=76495
lian ai 	戀愛	c=1 d=3.63986e-111 t=76495
lian biao 	連表	c=3 d=3.57972e-87 t=76495
lian biao 	鏈表	c=1 d=7.35173e-58 t=76495
lian bu qi lai 	連不起來	c=1 d=5.06946e-38 t=76495
lian bu shang 	連不上	c=3 d=2.79574e-07 t=76495
lian chu 	練出	c=1 d=8.2651e-24 t=76495
lian dai 	聯帶	c=1 d=1.51902e-36 t=76495
lian dai 	連帶	c=1 d=9.26865e-78 t=76495
lian dou 	臉都	c=1 d=4.9342e-14 t=76495
lian he 	聯合	c=3 d=1.20486e-16 t=76495
lian ji 	聯機	c=1 d=4.77636e-102 t=76495
lian jie 	連接	c=47 d=2.12888 t=76495
lian jie 	鏈接	c=66 d=1.30024 t=76495
lian jie chi 	連接池	c=1 d=5.1629e-47 t=76495
lian jie qi 	連接器	c=2 d=1.06387e-103 t=76495
lian jie shu 	連接數	c=1 d=6.22818e-48 t=76495
lian le 	練了	c=1 d=7.81722e-45 t=76495
lian lian 	練練	c=1 d=9.66756e-15 t=76495
lian lian kan 	連連看	c=1 d=5.74701e-102 t=76495
lian lu 	鏈路	c=38 d=0.000162473 t=76495
lian mei zi 	鍊妹子	c=1 d=4.03004e-15 t=76495
lian meng 	聯盟	c=1 d=0.657047 t=76495
lian po 	廉頗	c=2 d=2.19084e-21 t=76495
lian qi lai 	連起來	c=2 d=2.88932e-12 t=76495
lian qing 	戀情	c=1 d=1.43577e-20 t=76495
lian quan 	链圈	c=1 d=1.87238e-26 t=76495
lian shang 	臉上	c=5 d=0.307279 t=76495
lian shi 	鏈式	c=7 d=1.11799e-18 t=76495
lian shi cao zuo 	鏈式操作	c=1 d=1.47257e-53 t=76495
lian tiao 	聯調	c=1 d=1.89971e-20 t=76495
lian tong 	聯通	c=1 d=1.71065e-22 t=76495
lian tong xing 	连通性	c=1 d=0.00941925 t=76495
lian xi 	聯繫	c=3 d=9.81171e-42 t=76495
lian xi ren 	聯繫人	c=7 d=1.84865e-23 t=76495
lian xi wo 	联系我	c=1 d=1.29512e-13 t=76495
lian xu 	連續	c=1 d=1.10683e-47 t=76495
lian yi xia 	連一下	c=1 d=7.05002e-65 t=76495
liang 	兩	c=0 d=0.0680451 t=76495
liang 	樑	c=3 d=3.11796e-55 t=76495
liang 	量	c=6 d=0.000367055 t=76495
liang 	靚	c=1 d=2.42538e-41 t=76495
liang bai ge 	兩百個	c=1 d=5.29343e-76 t=76495
liang bian 	兩邊	c=2 d=1.72966e-05 t=76495
liang che 	輛車	c=0 d=2.08251e-43 t=76495
liang ci 	兩次	c=7 d=0.284721 t=76495
liang da 	量大	c=0 d=0.000900478 t=76495
liang da le 	量大了	c=1 d=0.00904991 t=76495
liang dian 	兩點	c=2 d=1.00256e-30 t=76495
liang dian duo 	兩點多	c=1 d=0.847894 t=76495
liang fen zhong 	兩分鐘	c=1 d=9.52037e-11 t=76495
liang fen zhong le 	兩分鐘了	c=1 d=2.87677e-49 t=76495
liang ge 	兩個	c=55 d=0.481539 t=76495
liang ge hao 	兩個好	c=1 d=3.51142e-12 t=76495
liang ge hao 	兩個號	c=2 d=6.59473e-07 t=76495
liang ge yue 	兩個月	c=3 d=6.17922e-14 t=76495
liang hang 	兩行	c=1 d=1.21755e-51 t=76495
liang hao 	良好	c=2 d=3.64083e-26 t=76495
liang ji 	量級	c=2 d=9.94271e-51 t=76495
liang jian 	兩件	c=1 d=1.44218e-43 t=76495
liang ju 	兩句	c=1 d=2.12754e-29 t=76495
liang ju hua 	兩句話	c=1 d=9.29007e-17 t=76495
liang kuai 	涼快	c=1 d=1.12551e-38 t=76495
